Compiler,Library,Target,Tiles Per Chunk,# MPI Ranks,# OpenMP Threads,Runtime
AMD,OPENMP,FAST,128,128,1,3.534330
AMD,OPENMP,FAST,128,1,128,56.155350
AMD,OPENMP,FAST,128,1,1,68.350429
AMD,OPENMP,FAST,16,128,1,2.821779
AMD,OPENMP,FAST,16,1,128,9.388326
AMD,OPENMP,FAST,16,1,1,43.696391
AMD,OPENMP,FAST,1,128,1,2.194276
AMD,OPENMP,FAST,1,1,128,3.129162
AMD,OPENMP,FAST,1,1,1,40.701290
AMD,OPENMP,FAST,2,128,1,2.444620
AMD,OPENMP,FAST,2,1,128,3.177591
AMD,OPENMP,FAST,2,1,1,41.926884
AMD,OPENMP,FAST,32,128,1,2.518831
AMD,OPENMP,FAST,32,1,128,16.175552
AMD,OPENMP,FAST,32,1,1,47.508574
AMD,OPENMP,FAST,4,128,1,2.500191
AMD,OPENMP,FAST,4,1,128,3.703956
AMD,OPENMP,FAST,4,1,1,40.505968
AMD,OPENMP,FAST,64,128,1,3.056438
AMD,OPENMP,FAST,64,1,128,25.458919
AMD,OPENMP,FAST,64,1,1,55.304240
AMD,OPENMP,FAST,8,128,1,2.670230
AMD,OPENMP,FAST,8,1,128,5.806652
AMD,OPENMP,FAST,8,1,1,41.711578
AMD,OPENMP,STANDARD,128,128,1,3.588538
AMD,OPENMP,STANDARD,128,1,128,52.403674
AMD,OPENMP,STANDARD,128,1,1,67.936313
AMD,OPENMP,STANDARD,16,128,1,2.435932
AMD,OPENMP,STANDARD,16,1,128,8.855112
AMD,OPENMP,STANDARD,16,1,1,43.681955
AMD,OPENMP,STANDARD,1,128,1,2.396683
AMD,OPENMP,STANDARD,1,1,128,3.433206
AMD,OPENMP,STANDARD,1,1,1,40.504145
AMD,OPENMP,STANDARD,2,128,1,2.437163
AMD,OPENMP,STANDARD,2,1,128,3.676251
AMD,OPENMP,STANDARD,2,1,1,41.774911
AMD,OPENMP,STANDARD,32,128,1,2.713121
AMD,OPENMP,STANDARD,32,1,128,15.358108
AMD,OPENMP,STANDARD,32,1,1,47.182742
AMD,OPENMP,STANDARD,4,128,1,2.515198
AMD,OPENMP,STANDARD,4,1,128,3.934625
AMD,OPENMP,STANDARD,4,1,1,40.439982
AMD,OPENMP,STANDARD,64,128,1,3.074852
AMD,OPENMP,STANDARD,64,1,128,25.356565
AMD,OPENMP,STANDARD,64,1,1,55.442878
AMD,OPENMP,STANDARD,8,128,1,2.360338
AMD,OPENMP,STANDARD,8,1,128,5.668472
AMD,OPENMP,STANDARD,8,1,1,41.638577
GCC,OPENMP,FAST,128,128,1,4.481974
GCC,OPENMP,FAST,128,1,128,62.383007
GCC,OPENMP,FAST,128,1,1,79.466667
GCC,OPENMP,FAST,16,128,1,2.084573
GCC,OPENMP,FAST,16,1,128,12.375969
GCC,OPENMP,FAST,16,1,1,64.269505
GCC,OPENMP,FAST,1,128,1,1.880422
GCC,OPENMP,FAST,1,1,128,2.693756
GCC,OPENMP,FAST,1,1,1,60.006760
GCC,OPENMP,FAST,2,128,1,1.892019
GCC,OPENMP,FAST,2,1,128,3.080083
GCC,OPENMP,FAST,2,1,1,61.214101
GCC,OPENMP,FAST,32,128,1,2.908357
GCC,OPENMP,FAST,32,1,128,20.021264
GCC,OPENMP,FAST,32,1,1,66.194759
GCC,OPENMP,FAST,4,128,1,1.863249
GCC,OPENMP,FAST,4,1,128,4.510416
GCC,OPENMP,FAST,4,1,1,60.298138
GCC,OPENMP,FAST,64,128,1,2.615688
GCC,OPENMP,FAST,64,1,128,35.792743
GCC,OPENMP,FAST,64,1,1,70.913012
GCC,OPENMP,FAST,8,128,1,1.987106
GCC,OPENMP,FAST,8,1,128,9.928944
GCC,OPENMP,FAST,8,1,1,61.583353
GCC,OPENMP,STANDARD,128,128,1,4.885944
GCC,OPENMP,STANDARD,128,1,128,61.856292
GCC,OPENMP,STANDARD,128,1,1,79.366957
GCC,OPENMP,STANDARD,16,128,1,2.069803
GCC,OPENMP,STANDARD,16,1,128,12.084418
GCC,OPENMP,STANDARD,16,1,1,64.195299
GCC,OPENMP,STANDARD,1,128,1,1.925120
GCC,OPENMP,STANDARD,1,1,128,2.814403
GCC,OPENMP,STANDARD,1,1,1,60.177050
GCC,OPENMP,STANDARD,2,128,1,2.021022
GCC,OPENMP,STANDARD,2,1,128,2.591095
GCC,OPENMP,STANDARD,2,1,1,61.159565
GCC,OPENMP,STANDARD,32,128,1,2.598613
GCC,OPENMP,STANDARD,32,1,128,19.528524
GCC,OPENMP,STANDARD,32,1,1,66.140233
GCC,OPENMP,STANDARD,4,128,1,1.915044
GCC,OPENMP,STANDARD,4,1,128,4.602572
GCC,OPENMP,STANDARD,4,1,1,60.321265
GCC,OPENMP,STANDARD,64,128,1,2.531388
GCC,OPENMP,STANDARD,64,1,128,33.651281
GCC,OPENMP,STANDARD,64,1,1,71.310487
GCC,OPENMP,STANDARD,8,128,1,1.971004
GCC,OPENMP,STANDARD,8,1,128,8.970819
GCC,OPENMP,STANDARD,8,1,1,61.560865
