Compiler,Library,Target,Tiles Per Chunk,# MPI Ranks,# OpenMP Threads,Runtime


AMD,OPENCL,FAST,2,1,1,0.992814
AMD,OPENCL,FAST,32,1,1,7.742957
AMD,OPENCL,FAST,4,1,1,1.254756
AMD,OPENCL,FAST,64,1,1,23.485404
AMD,OPENCL,FAST,8,1,1,1.859762

AMD,OPENCL,STANDARD,2,1,1,1.001618
AMD,OPENCL,STANDARD,32,1,1,7.736189
AMD,OPENCL,STANDARD,4,1,1,1.274015
AMD,OPENCL,STANDARD,64,1,1,22.456607
AMD,OPENCL,STANDARD,8,1,1,1.846460

GCC,OPENCL,FAST,2,1,1,1.000986
GCC,OPENCL,FAST,32,1,1,7.943578
GCC,OPENCL,FAST,4,1,1,1.273952
GCC,OPENCL,FAST,64,1,1,23.335216
GCC,OPENCL,FAST,8,1,1,1.855027

GCC,OPENCL,STANDARD,2,1,1,0.999004
GCC,OPENCL,STANDARD,32,1,1,7.973242
GCC,OPENCL,STANDARD,4,1,1,1.272316
GCC,OPENCL,STANDARD,64,1,1,23.337552
GCC,OPENCL,STANDARD,8,1,1,1.854052

NVHPC,OPENCL,FAST,2,1,1,0.996417
NVHPC,OPENCL,FAST,32,1,1,7.884850
NVHPC,OPENCL,FAST,4,1,1,1.263667
NVHPC,OPENCL,FAST,64,1,1,22.839099
NVHPC,OPENCL,FAST,8,1,1,1.837057

NVHPC,OPENCL,STANDARD,2,1,1,0.995941
NVHPC,OPENCL,STANDARD,32,1,1,7.830121
NVHPC,OPENCL,STANDARD,4,1,1,1.259007
NVHPC,OPENCL,STANDARD,64,1,1,22.841385
NVHPC,OPENCL,STANDARD,8,1,1,1.837060


AMD,OPENCL,FAST,1,1,1,0.876617
AMD,OPENCL,STANDARD,1,1,1,0.871942

GCC,OPENCL,FAST,1,1,1,0.875890
GCC,OPENCL,STANDARD,1,1,1,0.878774

NVHPC,OPENCL,STANDARD,1,1,1,0.872636
NVHPC,OPENCL,FAST,1,1,1,0.871621
