Test problem 2 is within    5.0975444e+01 % of the expected solution
This test is considered NOT PASSED
Wall clock 2.109319
First step overhead 0.153615
Profiler Output                 Time            Percentage
Timestep              :          0.1382           6.5519
ideal_gas             :          0.1252           5.9366
viscosity             :          0.0758           3.5918
PdV                   :          0.1809           8.5753
revert                :          0.0224           1.0630
acceleration          :          0.0690           3.2730
flux                  :          0.0958           4.5426
cell_advection        :          0.0020           0.0941
mom_advection         :          0.4583          21.7256
reset                 :          0.1303           6.1750
summary               :          0.0056           0.2640
visit                 :          0.0000           0.0000
tile_halo_exchange    :          0.0002           0.0100
self_halo_exchange    :          0.3000          14.2244
mpi_halo_exchange     :          0.0003           0.0119
kernel_total          :          1.6039          76.0391
the rest              :          0.5054          23.9609
