Test problem 2 is within    5.0975444e+01 % of the expected solution
This test is considered NOT PASSED
Wall clock 37.032950
First step overhead -0.307693
Profiler Output                 Time            Percentage
Timestep              :          1.6859           4.5525
ideal_gas             :          1.5073           4.0703
viscosity             :          1.4429           3.8962
PdV                   :          1.6928           4.5711
revert                :          1.0750           2.9028
acceleration          :          1.2901           3.4835
flux                  :          1.7343           4.6830
cell_advection        :          0.0089           0.0240
mom_advection         :          6.5088          17.5756
reset                 :          0.7192           1.9421
summary               :          0.0559           0.1509
visit                 :          0.0000           0.0000
tile_halo_exchange    :         11.1456          30.0965
self_halo_exchange    :          1.3172           3.5568
mpi_halo_exchange     :          0.0005           0.0014
kernel_total          :         30.1843          81.5066
the rest              :          6.8486          18.4934
