Test problem 2 is within    5.0975444e+01 % of the expected solution
This test is considered NOT PASSED
Wall clock 55.834906
First step overhead 3.535051
Profiler Output                 Time            Percentage
Timestep              :          3.1091           5.5685
ideal_gas             :          1.7384           3.1135
viscosity             :          2.2595           4.0468
PdV                   :          3.0511           5.4645
revert                :          0.5090           0.9117
acceleration          :          1.7770           3.1826
flux                  :          1.1904           2.1319
cell_advection        :          0.0154           0.0276
mom_advection         :         10.9313          19.5778
reset                 :          2.4755           4.4336
summary               :          0.1196           0.2142
visit                 :          0.0000           0.0000
tile_halo_exchange    :         18.5678          33.2549
self_halo_exchange    :          3.6094           6.4645
mpi_halo_exchange     :          0.0004           0.0008
kernel_total          :         49.3541          88.3928
the rest              :          6.4808          11.6072
