Test problem 2 is within    5.0975444e+01 % of the expected solution
This test is considered NOT PASSED
Wall clock 35.075254
First step overhead -1.759741
Profiler Output                 Time            Percentage
Timestep              :          2.1039           5.9983
ideal_gas             :          1.1215           3.1974
viscosity             :          1.7019           4.8520
PdV                   :          0.9889           2.8195
revert                :          0.3260           0.9293
acceleration          :          0.5991           1.7080
flux                  :          0.7475           2.1310
cell_advection        :          0.0083           0.0236
mom_advection         :          9.8862          28.1856
reset                 :          1.4895           4.2466
summary               :          0.0619           0.1766
visit                 :          0.0000           0.0000
tile_halo_exchange    :         10.2691          29.2775
self_halo_exchange    :          2.1433           6.1107
mpi_halo_exchange     :          0.0006           0.0016
kernel_total          :         31.4476          89.6576
the rest              :          3.6276          10.3424
